pc_number,attachments,text,date,act,precis
2003-0548,2070," PC Number Date Chapter Bill Dept 2003-05482003-04-11, , , , , , PMO, NDActNational Defence ActPrecisAppointment of HÉLÈNE GOSSELIN of Ottawa, Ontario, to be Associate Deputy Minister of National Defence, to hold office during pleasure, effective April 22, 2003.AttachmentsAttachment",2003-04-11,National Defence Act,"Appointment of HÉLÈNE GOSSELIN of Ottawa, Ontario, to be Associate Deputy Minister of National Defence, to hold office during pleasure, effective April 22, 2003."
2003-0619,2074," PC Number Date Chapter Bill Dept 2003-06192003-05-01, , RESOURCES, PMO, , , , ActSpecial Appointment Regulations, No. 2003-8PrecisAppointment of NAWAL KAMEL to be Special Advisor to the Deputy Minister of Natural Resources, to hold office during pleasure, effective June 23, 2003.AttachmentsAttachment",2003-05-01,"Special Appointment Regulations, No. 2003-8","Appointment of NAWAL KAMEL to be Special Advisor to the Deputy Minister of Natural Resources, to hold office during pleasure, effective June 23, 2003."
2003-1033,3093," PC Number Date Chapter Bill Dept 2003-10332003-06-19, , , PMO, FIN, , , , ActSpecial Appointment Regulations, No. 2003-11PrecisAppointment of MUNIR SHEIKH of Ottawa, Ontario, to be Associate Deputy Minister of Finance, to hold office during pleasure, effective July 2, 2003.AttachmentsAttachment",2003-06-19,"Special Appointment Regulations, No. 2003-11","Appointment of MUNIR SHEIKH of Ottawa, Ontario, to be Associate Deputy Minister of Finance, to hold office during pleasure, effective July 2, 2003."
2003-1035,3097," PC Number Date Chapter Bill Dept 2003-10352003-06-19, , , , , , , PMO, HEALTHActSpecial Appointment Regulations, No. 2003-12PrecisAppointment of JANICE CHARETTE of Ottawa, Ontario, to be Associate Deputy Minister of Health, to hold office during pleasure, effective July 2, 2003.AttachmentsAttachment",2003-06-19,"Special Appointment Regulations, No. 2003-12","Appointment of JANICE CHARETTE of Ottawa, Ontario, to be Associate Deputy Minister of Health, to hold office during pleasure, effective July 2, 2003."
2003-1037,3101," PC Number Date Chapter Bill Dept 2003-10372003-06-19, , , , PMO, PCO, , , , ActSpecial Appointment Regulations, No. 2003-13PrecisAppointment of MICHAEL WERNICK of Ottawa, Ontario, to be Deputy Secretary to the Cabinet (Plans and Consultations), Privy Council Office, to hold office during pleasure, effective July 2, 2003.AttachmentsAttachment",2003-06-19,"Special Appointment Regulations, No. 2003-13","Appointment of MICHAEL WERNICK of Ottawa, Ontario, to be Deputy Secretary to the Cabinet (Plans and Consultations), Privy Council Office, to hold office during pleasure, effective July 2, 2003."
2003-1039,3105," PC Number Date Chapter Bill Dept 2003-10392003-06-19, , , , , , , , PMO, CITIZENSHIPActSpecial Appointment Regulations, No. 2003-14PrecisAppointment of DIANE VINCENT of Ottawa, Ontario, to be Associate Deputy Minister of Citizenship and Immigration, to hold office during pleasure, effective July 2, 2003.AttachmentsAttachment",2003-06-19,"Special Appointment Regulations, No. 2003-14","Appointment of DIANE VINCENT of Ottawa, Ontario, to be Associate Deputy Minister of Citizenship and Immigration, to hold office during pleasure, effective July 2, 2003."
2003-1505,4106," PC Number Date Chapter Bill Dept 2003-15052003-10-02, , , , JUS, PMOActDepartment of Justice ActPrecisAppointment of MICHEL BOUCHARD of Cap Rouge, Quebec, to be Associate Deputy Minister of Justice, to hold office during pleasure, effective October 2, 2003.AttachmentsAttachment",2003-10-02,Department of Justice Act,"Appointment of MICHEL BOUCHARD of Cap Rouge, Quebec, to be Associate Deputy Minister of Justice, to hold office during pleasure, effective October 2, 2003."
2003-2110,5290," PC Number Date Chapter Bill Dept 2003-21102003-12-12, , , PMO, SGC, , ActDepartment of the Solicitor General ActPrecisAppointment of MARGARET BLOODWORTH of Ottawa, Ontario, to be Deputy Solicitor General, to be styled Deputy Minister of Public Safety and Emergency Preparedness, to hold office during pleasure, effective December 12, 2003.AttachmentsAttachment",2003-12-12,Department of the Solicitor General Act,"Appointment of MARGARET BLOODWORTH of Ottawa, Ontario, to be Deputy Solicitor General, to be styled Deputy Minister of Public Safety and Emergency Preparedness, to hold office during pleasure, effective December 12, 2003."
2003-2116,5366," PC Number Date Chapter Bill Dept 2003-21162003-12-12, , , , , , , EC, PMOActSpecial Appointment Regulations, No. 2003-20PrecisAppointment of CATHERINE (CASSIE) DOYLE of Ottawa, Ontario, to be Associate Deputy Minister of the Environment, to hold office during pleasure, effective December 12, 2003.AttachmentsAttachment",2003-12-12,"Special Appointment Regulations, No. 2003-20","Appointment of CATHERINE (CASSIE) DOYLE of Ottawa, Ontario, to be Associate Deputy Minister of the Environment, to hold office during pleasure, effective December 12, 2003."
2003-2117,5213," PC Number Date Chapter Bill Dept 2003-21172003-12-12IA&ND, PMO, , , , , , , ActDepartment of Indian Affairs and Northern Development ActPrecisAppointment of J. MICHAEL HORGAN of Ottawa, Ontario, to be Deputy Minister of Indian Affairs and Northern Development, to hold office during pleasure, effective December 12, 2003.AttachmentsAttachment",2003-12-12,Department of Indian Affairs and Northern Development Act,"Appointment of J. MICHAEL HORGAN of Ottawa, Ontario, to be Deputy Minister of Indian Affairs and Northern Development, to hold office during pleasure, effective December 12, 2003."
2003-2118,5215," PC Number Date Chapter Bill Dept 2003-21182003-12-12, , PMO, HRD, , , , , ActDepartment of Human Resources Development ActPrecisAppointment of NICOLE JAUVIN, of Ottawa, Ontario, to be Deputy Minister of Human Resources Development, to be styled Deputy Minister of Social Development, to hold office during pleasure, effective December 12, 2003.AttachmentsAttachment",2003-12-12,Department of Human Resources Development Act,"Appointment of NICOLE JAUVIN, of Ottawa, Ontario, to be Deputy Minister of Human Resources Development, to be styled Deputy Minister of Social Development, to hold office during pleasure, effective December 12, 2003."
2003-2122,5389," PC Number Date Chapter Bill Dept 2003-21222003-12-12, , PMO, , , , , ActSpecial Appointment Regulations, No. 2003-22PrecisAppointment of ROBERT A. WRIGHT of Ottawa, Ontario, to be Associate Secretary to the Cabinet and National Security Advisor to the Prime Minister, to hold office during pleasure, effective December 12, 2003.AttachmentsAttachment",2003-12-12,"Special Appointment Regulations, No. 2003-22","Appointment of ROBERT A. WRIGHT of Ottawa, Ontario, to be Associate Secretary to the Cabinet and National Security Advisor to the Prime Minister, to hold office during pleasure, effective December 12, 2003."
2003-2123,5588," PC Number Date Chapter Bill Dept 2003-21232003-12-12, , , ND, PMO, , , ActNational Defence ActPrecisAppointment of HÉLÈNE GOSSELIN of Ottawa, Ontario, an Associate Deputy Minister of National Defence, to be Acting Deputy Minister of National Defence, effective December 12, 2003, to hold office during pleasure, until a Deputy Minister of National Defence is appointed.AttachmentsAttachment",2003-12-12,National Defence Act,"Appointment of HÉLÈNE GOSSELIN of Ottawa, Ontario, an Associate Deputy Minister of National Defence, to be Acting Deputy Minister of National Defence, effective December 12, 2003, to hold office during pleasure, until a Deputy Minister of National Defence is appointed."
2003-2126,5393," PC Number Date Chapter Bill Dept 2003-21262003-12-12, , , , PMO, FAIT, , , , ActDepartment of Foreign Affairs and International Trade ActPrecisAppointment of MARIE-LUCIE MORIN of Ottawa, Ontario, to be Associate Deputy Minister of Foreign Affairs, to hold office during pleasure, effective December 12, 2003.AttachmentsAttachment",2003-12-12,Department of Foreign Affairs and International Trade Act,"Appointment of MARIE-LUCIE MORIN of Ottawa, Ontario, to be Associate Deputy Minister of Foreign Affairs, to hold office during pleasure, effective December 12, 2003."
2003-2127,5370," PC Number Date Chapter Bill Dept 2003-21272003-12-12PMO, NRCAN, , , , , , , , ActNorthern Pipeline ActPrecisAppointment of GEORGE R.M. ANDERSON, Deputy Minister of Natural Resources, to be the Commissioner of the Northern Pipeline Agency, to hold office during pleasure, in the place of Leonard Edwards.AttachmentsAttachment",2003-12-12,Northern Pipeline Act,"Appointment of GEORGE R.M. ANDERSON, Deputy Minister of Natural Resources, to be the Commissioner of the Northern Pipeline Agency, to hold office during pleasure, in the place of Leonard Edwards."
2003-2129,5397," PC Number Date Chapter Bill Dept 2003-21292003-12-12, , , , , , PMO, HRD, , ActDepartment of Human Resources Development ActSpecial Appointment Regulations, No. 2003-24PrecisAppointment of WAYNE WOUTERS of Ottawa, Ontario, to be Deputy Minister of Human Resources and Skills Development, to hold office during pleasure; to be concurrently an Associate Deputy Minister of Human Resources Development, to hold office during pleasure, and as a commissioner of the Canada Employment Insurance Commission, to be the Vice-Chairperson of the Commission, effective December 12, 2003.AttachmentsAttachment",2003-12-12,"Department of Human Resources Development Act
Special Appointment Regulations, No. 2003-24","Appointment of WAYNE WOUTERS of Ottawa, Ontario, to be Deputy Minister of Human Resources and Skills Development, to hold office during pleasure; to be concurrently an Associate Deputy Minister of Human Resources Development, to hold office during pleasure, and as a commissioner of the Canada Employment Insurance Commission, to be the Vice-Chairperson of the Commission, effective December 12, 2003."
2003-2131,5401," PC Number Date Chapter Bill Dept 2003-21312003-12-12, , , , , , PMO, HRD, ActDepartment of Human Resources Development ActSpecial Appointment Regulations, No. 2003-25PrecisAppointment of MARYANTONETT FLUMIAN of Ottawa, Ontario, to be Associate Deputy Minister of Human Resources and Skills Development, to hold office during pleasure; and to be concurrently an Associate Deputy Minister of Human Resources Development, to hold office during pleasure, effective December 12, 2003.AttachmentsAttachment",2003-12-12,"Department of Human Resources Development Act
Special Appointment Regulations, No. 2003-25","Appointment of MARYANTONETT FLUMIAN of Ottawa, Ontario, to be Associate Deputy Minister of Human Resources and Skills Development, to hold office during pleasure; and to be concurrently an Associate Deputy Minister of Human Resources Development, to hold office during pleasure, effective December 12, 2003."
2004-0397,6444," PC Number Date Chapter Bill Dept 2004-03972004-04-08, , , , PMO, , ActSpecial Appointment Regulations, No. 2004-2PrecisAppointment of MARIE E. FORTIER of Ottawa, Ontario, to be Deputy Minister (Intergovernmental Affairs), Privy Council Office, to hold office during pleasure, effective April 26, 2004.AttachmentsAttachment",2004-04-08,"Special Appointment Regulations, No. 2004-2","Appointment of MARIE E. FORTIER of Ottawa, Ontario, to be Deputy Minister (Intergovernmental Affairs), Privy Council Office, to hold office during pleasure, effective April 26, 2004."
2004-0399,6448," PC Number Date Chapter Bill Dept 2004-03992004-04-08PMO, , , , , , ActSpecial Appointment Regulations, No. 2004-3PrecisAppointment of MICHELLE d'AURAY of Ottawa, Ontario, to be Deputy Minister of the Economic Development Agency of Canada for the Regions of Quebec, to hold office during pleasure, effective May 10, 2004.AttachmentsAttachment",2004-04-08,"Special Appointment Regulations, No. 2004-3","Appointment of MICHELLE d'AURAY of Ottawa, Ontario, to be Deputy Minister of the Economic Development Agency of Canada for the Regions of Quebec, to hold office during pleasure, effective May 10, 2004."
2004-0400,6452," PC Number Date Chapter Bill Dept 2004-04002004-04-08, PMO, , , , , ActDepartment of Foreign Affairs and International Trade ActPrecisAppointment of ROBERT FONBERG of Nepean, Ontario, to be Associate Deputy Minister of Foreign Affairs, to hold office during pleasure; and designation of ROBERT FONBERG, an Associate Deputy Minister of Foreign Affairs, to be Deputy Minister for International Trade; effective May 10, 2004.AttachmentsAttachment",2004-04-08,Department of Foreign Affairs and International Trade Act,"Appointment of ROBERT FONBERG of Nepean, Ontario, to be Associate Deputy Minister of Foreign Affairs, to hold office during pleasure; and designation of ROBERT FONBERG, an Associate Deputy Minister of Foreign Affairs, to be Deputy Minister for International Trade; effective May 10, 2004."
2004-0402,6456," PC Number Date Chapter Bill Dept 2004-04022004-04-08, , , , PMO, , ActSpecial Appointment Regulations, No. 2004-4PrecisAppointment of YAPRAK BALTACIOGLU of Ottawa, Ontario, to the position of Deputy Secretary to the Cabinet (Operations), Privy Council Office, to hold office during pleasure, effective May 10, 2004.AttachmentsAttachment",2004-04-08,"Special Appointment Regulations, No. 2004-4","Appointment of YAPRAK BALTACIOGLU of Ottawa, Ontario, to the position of Deputy Secretary to the Cabinet (Operations), Privy Council Office, to hold office during pleasure, effective May 10, 2004."
2004-0404,6460," PC Number Date Chapter Bill Dept 2004-04042004-04-08PMO, , , , , ActSpecial Appointment Regulations, No. 2004-5PrecisAppointment of SUZANNE TINING of Montréal, Quebec, to be Associate Deputy Minister of Indian Affairs and Northern Development, to hold office during pleasure, effective June 14, 2004.AttachmentsAttachment",2004-04-08,"Special Appointment Regulations, No. 2004-5","Appointment of SUZANNE TINING of Montréal, Quebec, to be Associate Deputy Minister of Indian Affairs and Northern Development, to hold office during pleasure, effective June 14, 2004."
2004-0406,6464," PC Number Date Chapter Bill Dept 2004-04062004-04-08, , , PMO, , ActSpecial Appointment Regulations, No. 2004-6PrecisAppointment of SUSAN PETERSON of Ottawa, Ontario, to be Associate Deputy Minister of Canadian Heritage, to hold office during pleasure, effective April 13, 2004.AttachmentsAttachment",2004-04-08,"Special Appointment Regulations, No. 2004-6","Appointment of SUSAN PETERSON of Ottawa, Ontario, to be Associate Deputy Minister of Canadian Heritage, to hold office during pleasure, effective April 13, 2004."
2004-0408,6468," PC Number Date Chapter Bill Dept 2004-04082004-04-08, , , , , PMOActDepartment of Industry ActPrecisAppointment of SUZANNE HURTUBISE of Ottawa, Ontario, to be Deputy Minister of Industry, to hold office during pleasure, effective May 10, 2004.AttachmentsAttachment",2004-04-08,Department of Industry Act,"Appointment of SUZANNE HURTUBISE of Ottawa, Ontario, to be Deputy Minister of Industry, to hold office during pleasure, effective May 10, 2004."
2004-0409,6470," PC Number Date Chapter Bill Dept 2004-04092004-04-08, PMO, , , , ActDepartment of the Environment ActPrecisAppointment of SAMY WATSON of Carp, Ontario, to be Deputy Minister of the Environment, to hold office during pleasure, effective May 10, 2004.AttachmentsAttachment",2004-04-08,Department of the Environment Act,"Appointment of SAMY WATSON of Carp, Ontario, to be Deputy Minister of the Environment, to hold office during pleasure, effective May 10, 2004."
2004-0410,6472," PC Number Date Chapter Bill Dept 2004-04102004-04-08, , PMO, , , ActDepartment of Agriculture and Agri-Food ActPrecisAppointment of LEONARD J. EDWARDS of Ottawa, Ontario, to be Deputy Minister of Agriculture and Agri-Food, to hold office during pleasure, effective May 10, 2004.AttachmentsAttachment",2004-04-08,Department of Agriculture and Agri-Food Act,"Appointment of LEONARD J. EDWARDS of Ottawa, Ontario, to be Deputy Minister of Agriculture and Agri-Food, to hold office during pleasure, effective May 10, 2004."
2004-0412,6476," PC Number Date Chapter Bill Dept 2004-04122004-04-08, , , , , PMOActSpecial Appointment Regulations, No. 2004-7PrecisAppointment of PAUL MICHAEL BOOTHE of Edmonton, Alberta, to be Associate Deputy Minister of Finance, to hold office during pleasure, effective June 1, 2004.AttachmentsAttachment",2004-04-08,"Special Appointment Regulations, No. 2004-7","Appointment of PAUL MICHAEL BOOTHE of Edmonton, Alberta, to be Associate Deputy Minister of Finance, to hold office during pleasure, effective June 1, 2004."
2004-0895,7554," PC Number Date Chapter Bill Dept 2004-08952004-08-04, , PMO, ND, , ActNational Defence ActPrecisAppointment of WARD ELCOCK of Ottawa, Ontario, to be Deputy Minister of National Defence, to hold office during pleasure.AttachmentsAttachment",2004-08-04,National Defence Act,"Appointment of WARD ELCOCK of Ottawa, Ontario, to be Deputy Minister of National Defence, to hold office during pleasure."
2004-0914,7612," PC Number Date Chapter Bill Dept 2004-09142004-08-17PCO, PMO, , , , ActSpecial Appointment Regulations, No. 2004-14PrecisAppointment of MUNIR SHEIKH of Ottawa, Ontario, to the position of Deputy Secretary to the Cabinet (Expenditure Review), Privy Council Office, to hold office during pleasure.AttachmentsAttachment",2004-08-17,"Special Appointment Regulations, No. 2004-14","Appointment of MUNIR SHEIKH of Ottawa, Ontario, to the position of Deputy Secretary to the Cabinet (Expenditure Review), Privy Council Office, to hold office during pleasure."
2004-1203,8310," PC Number Date Chapter Bill Dept 2004-12032004-10-21PMO, FIN, , , , , , , ActFinancial Administration ActPrecisAppointment of IAN BENNETT of Ottawa, Ontario, to be Deputy Minister of FInance, to hold office during pleasure, effective November 1, 2004.AttachmentsAttachment",2004-10-21,Financial Administration Act,"Appointment of IAN BENNETT of Ottawa, Ontario, to be Deputy Minister of FInance, to hold office during pleasure, effective November 1, 2004."
2004-1205,8314," PC Number Date Chapter Bill Dept 2004-12052004-10-21PMO, FIN, , , , , , , , ActSpecial Appointment Regulations, No. 2004-17PrecisAppointment of MARK J. CARNEY of Ottawa, Ontario, to be Senior Associate Deputy Minister of Finance, to hold office during pleasure, effective November 15, 2004.AttachmentsAttachment",2004-10-21,"Special Appointment Regulations, No. 2004-17","Appointment of MARK J. CARNEY of Ottawa, Ontario, to be Senior Associate Deputy Minister of Finance, to hold office during pleasure, effective November 15, 2004."
2004-1207,8318," PC Number Date Chapter Bill Dept 2004-12072004-10-21, , , , FIN, PMO, , , , ActSpecial Appointment Regulations, No. 2004-18PrecisAppointment of LOUIS LÉVESQUE of Gatineau, Quebec, to be Associate Deputy Minister of FInance, to hold office during pleasure, effective November 1, 2004.AttachmentsAttachment",2004-10-21,"Special Appointment Regulations, No. 2004-18","Appointment of LOUIS LÉVESQUE of Gatineau, Quebec, to be Associate Deputy Minister of FInance, to hold office during pleasure, effective November 1, 2004."
2004-1209,8322," PC Number Date Chapter Bill Dept 2004-12092004-10-21, , , , , , , , PMO, AGRI-FOODActSpecial Appointment Regulations, No. 2004-19PrecisAppointment of CHRISTIANE OUIMET of Orleans, Ontario, to be Associate Deputy Minister of Agriculture and Agri-Food, to hold office during pleasure, effective November 1, 2004.AttachmentsAttachment",2004-10-21,"Special Appointment Regulations, No. 2004-19","Appointment of CHRISTIANE OUIMET of Orleans, Ontario, to be Associate Deputy Minister of Agriculture and Agri-Food, to hold office during pleasure, effective November 1, 2004."
2004-1463,8746," PC Number Date Chapter Bill Dept 2004-14632004-12-02, , , , PMO, HEALTH, , , ActDepartment of Health ActPrecisAppointment of MORRIS A. ROSENBERG of Ottawa, Ontario, to be Deputy Minister of Health, to hold office during pleasure, effective December 20, 2004.AttachmentsAttachment",2004-12-02,Department of Health Act,"Appointment of MORRIS A. ROSENBERG of Ottawa, Ontario, to be Deputy Minister of Health, to hold office during pleasure, effective December 20, 2004."
2004-1464,8748," PC Number Date Chapter Bill Dept 2004-14642004-12-02, , , , , , JUS, PMO, ActDepartment of Justice ActPrecisAppointment of JOHN H. SIMS of Ottawa, Ontario, to be Deputy Minister of Justice, to hold office during pleasure, effective December 20, 2004.AttachmentsAttachment",2004-12-02,Department of Justice Act,"Appointment of JOHN H. SIMS of Ottawa, Ontario, to be Deputy Minister of Justice, to hold office during pleasure, effective December 20, 2004."
2004-1468,8756," PC Number Date Chapter Bill Dept 2004-14682004-12-02, , , , , PMO, HRSD, , ActDepartment of Human Resources Development ActSpecial Appointment Regulations, No. 2004-22PrecisAppointment of ALAN NYMARK of Ottawa, Ontario, to be Deputy Minister of Human Resources and Skills Development, to hold office during pleasure; to be concurrently an Associate Deputy Minister of Human Resources Development, to hold office during pleasure; and as a commissioner of the Canada Employment Insurance Commission, to be the Vice-Chairperson of the Commission; effective December 20, 2004.AttachmentsAttachment",2004-12-02,"Department of Human Resources Development Act
Special Appointment Regulations, No. 2004-22","Appointment of ALAN NYMARK of Ottawa, Ontario, to be Deputy Minister of Human Resources and Skills Development, to hold office during pleasure; to be concurrently an Associate Deputy Minister of Human Resources Development, to hold office during pleasure; and as a commissioner of the Canada Employment Insurance Commission, to be the Vice-Chairperson of the Commission; effective December 20, 2004."
2004-1469,8758," PC Number Date Chapter Bill Dept 2004-14692004-12-02, , , , , , , PMO, CITIZENSHIPActCitizenship ActPrecisAppointment of JANICE CHARETTE of Ottawa, Ontario, to be Deputy Minister of Citizenship and Immigration, to hold office during pleasure, effective December 20, 2004.AttachmentsAttachment",2004-12-02,Citizenship Act,"Appointment of JANICE CHARETTE of Ottawa, Ontario, to be Deputy Minister of Citizenship and Immigration, to hold office during pleasure, effective December 20, 2004."
2004-1471,8762," PC Number Date Chapter Bill Dept 2004-14712004-12-02, , IA&ND, PMO, , , , , , ActSpecial Appointment Regulations, No. 2004-23PrecisAppointment of JAMES LAHEY of Ottawa, Ontario, to the position of Associate Deputy Minister of Indian Affairs and Northern Development, to hold office during pleasure, effective December 20, 2004.AttachmentsAttachment",2004-12-02,"Special Appointment Regulations, No. 2004-23","Appointment of JAMES LAHEY of Ottawa, Ontario, to the position of Associate Deputy Minister of Indian Affairs and Northern Development, to hold office during pleasure, effective December 20, 2004."
2004-1475,8770," PC Number Date Chapter Bill Dept 2004-14752004-12-02PMO, PWGS, , , , , , ActSpecial Appointment Regulations, No. 2004-25PrecisAppointment of FRANÇOIS GUIMONT of Ottawa, Ontario, to the position of Associate Deputy Minister of Public Works and Government Services, to hold office during pleasure, effective January 24, 2005.AttachmentsAttachment",2004-12-02,"Special Appointment Regulations, No. 2004-25","Appointment of FRANÇOIS GUIMONT of Ottawa, Ontario, to the position of Associate Deputy Minister of Public Works and Government Services, to hold office during pleasure, effective January 24, 2005."
2004-1477,8774," PC Number Date Chapter Bill Dept 2004-14772004-12-02, , , , HEALTH, PMO, , ActSpecial Appointment Regulations, No. 2004-26PrecisAppointment of HÉLÈNE GOSSELIN of Ottawa, Ontario, to be Associate Deputy Minister of Health, to hold office during pleasure, effective December 20, 2004.AttachmentsAttachment",2004-12-02,"Special Appointment Regulations, No. 2004-26","Appointment of HÉLÈNE GOSSELIN of Ottawa, Ontario, to be Associate Deputy Minister of Health, to hold office during pleasure, effective December 20, 2004."
2005-0956,11106," PC Number Date Chapter Bill Dept 2005-09562005-05-18PMO, TBS, , , , , , , , ActSpecial Appointment Regulations, No. 2005-3PrecisAppointment of LINDA LIZOTTE-MacPHERSON of Ottawa, Ontario, to be Associate Secretary of the Treasury Board, to hold office during pleasure, effective May 24, 2005.AttachmentsAttachment",2005-05-18,"Special Appointment Regulations, No. 2005-3","Appointment of LINDA LIZOTTE-MacPHERSON of Ottawa, Ontario, to be Associate Secretary of the Treasury Board, to hold office during pleasure, effective May 24, 2005."
2005-0957,11110," PC Number Date Chapter Bill Dept 2005-09572005-05-18, , PMO, JUS, , , , , , ActDepartment of Justice ActPrecisAppointment of DONNA MILLER, Q.C., of Winnipeg, Manitoba, to be Associate Deputy Minister of Justice, to hold office during pleasure, effective May 24, 2005.AttachmentsAttachment",2005-05-18,Department of Justice Act,"Appointment of DONNA MILLER, Q.C., of Winnipeg, Manitoba, to be Associate Deputy Minister of Justice, to hold office during pleasure, effective May 24, 2005."
2005-0959,11114," PC Number Date Chapter Bill Dept 2005-09592005-05-18, , , , , , PMO, JUS, , ActSpecial Appointment Regulations, No. 2005-4PrecisAppointment of WILLIAM C. McDOWELL of Toronto, Ontario, to be Associate Deputy Minister of Justice, to hold office during pleasure, effective July 4, 2005.AttachmentsAttachment",2005-05-18,"Special Appointment Regulations, No. 2005-4","Appointment of WILLIAM C. McDOWELL of Toronto, Ontario, to be Associate Deputy Minister of Justice, to hold office during pleasure, effective July 4, 2005."
2005-0960,11116," PC Number Date Chapter Bill Dept 2005-09602005-05-18, , , , , , , , PMO, NDActNational Defence ActPrecisAppointment of JOHN L. ADAMS of Ottawa, Ontario, to be Associate Deputy Minister of National Defence, to hold office during pleasure, effective July 1, 2005.AttachmentsAttachment",2005-05-18,National Defence Act,"Appointment of JOHN L. ADAMS of Ottawa, Ontario, to be Associate Deputy Minister of National Defence, to hold office during pleasure, effective July 1, 2005."
2005-1157,11509," PC Number Date Chapter Bill Dept 2005-11572005-06-08, , PMO, JUS, , PrecisAmendment to Order in Council P.C. 2005-959 of May 18, 2005 regarding the appointment of WILLIAM C. McDOWELL as Associate Deputy Minister of Justice by changing the effective date to August 15, 2005.AttachmentsAttachment",2005-06-08,NA,"Amendment to Order in Council P.C. 2005-959 of May 18, 2005 regarding the appointment of WILLIAM C. McDOWELL as Associate Deputy Minister of Justice by changing the effective date to August 15, 2005."
2005-1607,12476," PC Number Date Chapter Bill Dept 2005-16072005-09-08RESOURCES, PMO, , , , , , , ActDepartment of Natural Resources ActPrecisAppointment of RICHARD B. FADDEN of Ottawa, Ontario, to be Deputy Minister of Natural Resources, to hold office during pleausre, effective September 12, 2005.AttachmentsAttachment",2005-09-08,Department of Natural Resources Act,"Appointment of RICHARD B. FADDEN of Ottawa, Ontario, to be Deputy Minister of Natural Resources, to hold office during pleausre, effective September 12, 2005."
2005-1609,13643," PC Number Date Chapter Bill Dept 2005-16092005-09-08, , , PMO, HRD, , , , ActDepartment of Human Resources Development ActSpecial Appointment Regulations, No. 2003-25PrecisAppointment of MARYANTONETT FLUMIAN of Ottawa, Ontario, to the position of Associate Deputy Minister of Human Resources and Skills Development, to hold office during pleasure; and to be concurrently an Associate Deputy Minister of Human Resources Development, to hold office during pleasure; and order that she shall be styled ""Deputy Minister for Service Canada"".AttachmentsAttachment",2005-09-08,"Department of Human Resources Development Act
Special Appointment Regulations, No. 2003-25","Appointment of MARYANTONETT FLUMIAN of Ottawa, Ontario, to the position of Associate Deputy Minister of Human Resources and Skills Development, to hold office during pleasure; and to be concurrently an Associate Deputy Minister of Human Resources Development, to hold office during pleasure; and order that she shall be styled ""Deputy Minister for Service Canada""."
2005-1610,13644," PC Number Date Chapter Bill Dept 2005-16102005-09-08, , , , , LAB, PMO, HRD, ActDepartment of Human Resources Development ActPrecisAppointment of MUNIR SHEIKH of Ottawa, Ontario, to be Associate Deputy Minister of Human Resources Development, to hold office during pleasure; and designation of MUNIR SHEIKH to be Deputy Minister of Labour, to be styled Deputy Minister of Labour and Housing, to hold office during pleasure.AttachmentsAttachment",2005-09-08,Department of Human Resources Development Act,"Appointment of MUNIR SHEIKH of Ottawa, Ontario, to be Associate Deputy Minister of Human Resources Development, to hold office during pleasure; and designation of MUNIR SHEIKH to be Deputy Minister of Labour, to be styled Deputy Minister of Labour and Housing, to hold office during pleasure."
2005-1613,13648," PC Number Date Chapter Bill Dept 2005-16132005-09-08, , , F&O, PMO, , , , ActSpecial Appointment Regulations, No. 2005-11PrecisAppointment of LUCIE McCLUNG of Stittsville, Ontario, to the position of Senior Associate Deputy Minister of Fisheries and Oceans, to hold office during pleasure.AttachmentsAttachment",2005-09-08,"Special Appointment Regulations, No. 2005-11","Appointment of LUCIE McCLUNG of Stittsville, Ontario, to the position of Senior Associate Deputy Minister of Fisheries and Oceans, to hold office during pleasure."
2005-1615,12494," PC Number Date Chapter Bill Dept 2005-16152005-09-08, , , , , , , RESOURCES, PMOActNorthern Pipeline ActPrecisAppointment of the DEPUTY MINISTER OF NATURAL RESOURCES to be the Commissioner of the Northern Pipeline Agency, to hold office during pleasure; and to be Chairman and Chief Executive Officer of the Energy Supplies Allocation Board to hold office during pleasure.AttachmentsAttachment",2005-09-08,Northern Pipeline Act,"Appointment of the DEPUTY MINISTER OF NATURAL RESOURCES to be the Commissioner of the Northern Pipeline Agency, to hold office during pleasure; and to be Chairman and Chief Executive Officer of the Energy Supplies Allocation Board to hold office during pleasure."
2005-1753,13651," PC Number Date Chapter Bill Dept 2005-17532005-10-04, , , PMO, HRD, , , ActDepartment of Human Resources Development ActDepartment of Employment and Social Development ActPrecisAppointment of MARYANTONETT FLUMIAN of Ottawa, Ontario, to be Associate Deputy Minister of Human Resources and Skills Development, to hold office during pleasure; to be concurrently an Associate Deputy Minister of Social Development, to hold office during pleasure; order that she shall be styled Deputy Minister for Service Canada; and appointment as a commissioner of the Canada Employment Insurance Commission, who shall be the Vice-Chairperson of the Commission; effective October 5, 2005.AttachmentsAttachment",2005-10-04,"Department of Human Resources Development Act
Department of Employment and Social Development Act","Appointment of MARYANTONETT FLUMIAN of Ottawa, Ontario, to be Associate Deputy Minister of Human Resources and Skills Development, to hold office during pleasure; to be concurrently an Associate Deputy Minister of Social Development, to hold office during pleasure; order that she shall be styled Deputy Minister for Service Canada; and appointment as a commissioner of the Canada Employment Insurance Commission, who shall be the Vice-Chairperson of the Commission; effective October 5, 2005."
